#Federal Aviation Administration

Date,Payload,Vehicle,Company,Site
20230430,ViaSat 3.1,Falcon Heavy,Space Exploration Technologies Corporation,FL
20230428,mPOWER-B,Falcon 9,Space Exploration Technologies Corporation,FL
20230427,Starlink Group 3-5,Falcon 9,Space Exploration Technologies Corporation,CA
20230420,Flight 1,Starship Super Heavy,Space Exploration Technologies Corporation,TX
20230419,Starlink Group 6-2,Falcon 9,Space Exploration Technologies Corporation,FL
20230415,Transporter-7,Falcon 9,Space Exploration Technologies Corporation,CA
20230407,Intelsat 40e,Falcon 9,Space Exploration Technologies Corporation,FL
20230402,SDA-0A,Falcon 9,Space Exploration Technologies Corporation,CA
20230329,Starlink Group 5-10,Falcon 9,Space Exploration Technologies Corporation,FL
20230324,Starlink Group 5-5,Falcon 9,Space Exploration Technologies Corporation,FL
20230324,"Flight 35 ""The Beat Goes On""",Electron,Rocket Lab Global,NZ
20230323,N/A,Terran 1,"Relativity Space, Inc.",FL
20230317,SES 18 + 19,Falcon 9,Space Exploration Technologies Corporation,FL
20230317,Starlink Group 2-8,Falcon 9,Space Exploration Technologies Corporation,CA
20230316,"Flight 34 ""Stronger Together""",Electron,Rocket Lab Global,VA
20230314,CRS-27,Falcon 9,Space Exploration Technologies Corporation,FL
20230309,OneWeb 3,Falcon 9,Space Exploration Technologies Corporation,FL
20230303,Starlink Group 2-7,Falcon 9,Space Exploration Technologies Corporation,CA
20230302,Crew-6,Falcon 9,Space Exploration Technologies Corporation,FL
20230227,Starlink Group 6-1,Falcon 9,Space Exploration Technologies Corporation,FL
20230217,Inmarsat 6F2,Falcon 9,Space Exploration Technologies Corporation,FL
20230217,Starlink Group 2-5,Falcon 9,Space Exploration Technologies Corporation,CA
20230212,Starlink Group 5-4,Falcon 9,Space Exploration Technologies Corporation,FL
20230206,Amazonas-6,Falcon 9,Space Exploration Technologies Corporation,FL
20230202,Starlink Group 5-3,Falcon 9,Space Exploration Technologies Corporation,FL
20230131,Starlink Group 2-6,Falcon 9,Space Exploration Technologies Corporation,CA
20230126,Starlink Group 5-2,Falcon 9,Space Exploration Technologies Corporation,FL
20230124,"F33 ""Virginia is for Launch Lovers""",Electron,Rocket Lab Global,VA
20230119,Starlink Group 2-4,Falcon 9,Space Exploration Technologies Corporation,CA
20230110,Demonstration Mission-1,RS1,ABL Space Systems,AK
20230110,OneWeb-2,Falcon 9,Space Exploration Technologies Corporation,FL
20230109,Flight 6,LauncherOne (L1),"Virgin Orbit, LLC",UK
20230103,Transporter-6,Falcon 9,Space Exploration Technologies Corporation,FL
20221230,EROS C,Falcon 9,Space Exploration Technologies Corporation,CA
20221228,Starlink Group 5-1,Falcon 9,Space Exploration Technologies Corporation,FL
20221217,Starlink Group 4-37,Falcon 9,Space Exploration Technologies Corporation,FL
20221216,mPOWER-A,Falcon 9,Space Exploration Technologies Corporation,FL
20221211,ispace M1,Falcon 9,Space Exploration Technologies Corporation,FL
20221208,OneWeb 1,Falcon 9,Space Exploration Technologies Corporation,FL
20221126,CRS-26,Falcon 9,Space Exploration Technologies Corporation,FL
20221122,Eutelsat 10B,Falcon 9,Space Exploration Technologies Corporation,FL
20221112,Intelsat G-31/G-32,Falcon 9,Space Exploration Technologies Corporation,FL
20221107,NG-18 Cygnus,Antares,"Orbital Sciences, LLC",VA
20221104,Flight 32 “Catch Me If You Can”,Electron,Rocket Lab Global,NZ
20221103,Eutelsat HOTBIRD-F2,Falcon 9,Space Exploration Technologies Corporation,FL
20221027,Starlink Group 4-31,Falcon 9,Space Exploration Technologies Corporation,CA
20221020,Starlink Group 4-36,Falcon 9,Space Exploration Technologies Corporation,FL
20221015,Eutelsat HOTBIRD-F1,Falcon 9,Space Exploration Technologies Corporation,FL
20221008,Intelsat G-33/G-34,Falcon 9,Space Exploration Technologies Corporation,FL
20221007,"F31 ""It Argos Up From Here""",Electron,Rocket Lab Global,NZ
20221005,Starlink Group 4-29,Falcon 9,Space Exploration Technologies Corporation,CA
20221005,Crew-5,Falcon 9,Space Exploration Technologies Corporation,FL
20221004,SES 20-21,Atlas V,United Launch Alliance,FL
20221001,FLTA002,Alpha,Firefly Aerospace,CA
20220924,Starlink Group 4-35,Falcon 9,Space Exploration Technologies Corporation,FL
20220918,Starlink Group 4-34,Falcon 9,Space Exploration Technologies Corporation,FL
20220915,"F30 ""The Owl Spreads Its Wings""",Electron,Rocket Lab Global,NZ
20220912,NS-23 / P12,New Shepard System,Blue Origin,TX
20220910,Starlink Group 4-2,Falcon 9,Space Exploration Technologies Corporation,FL
20220904,Starlink Group 4-20,Falcon 9,Space Exploration Technologies Corporation,FL
