#SpaceTrack

CAT ID,SATNAME,INTLDES,TYPE,COUNTRY,LAUNCH DATE,SITE,DECAY
1 ,SL-1 R/B,1957-001A,ROCKET BODY,CIS,1957-10-04,TTMTR,1957-12-01
2 ,SPUTNIK 1,1957-001B,PAYLOAD,CIS,1957-10-04,TTMTR,1958-01-03
3 ,SPUTNIK 2,1957-002A,PAYLOAD,CIS,1957-11-03,TTMTR,1958-04-14
4 ,EXPLORER 1,1958-001A,PAYLOAD,US,1958-02-01,AFETR,1970-03-31
5 ,VANGUARD 1,1958-002B,PAYLOAD,US,1958-03-17,AFETR,
6 ,EXPLORER 3,1958-003A,PAYLOAD,US,1958-03-26,AFETR,1958-06-28
7 ,SL-1 R/B,1958-004A,ROCKET BODY,CIS,1958-05-15,TTMTR,1958-12-03
8 ,SPUTNIK 3,1958-004B,PAYLOAD,CIS,1958-05-15,TTMTR,1960-04-06
9 ,EXPLORER 4,1958-005A,PAYLOAD,US,1958-07-26,AFETR,1959-10-23
10 ,SCORE,1958-006A,PAYLOAD,US,1958-12-18,AFETR,1959-01-21
11 ,VANGUARD 2,1959-001A,PAYLOAD,US,1959-02-17,AFETR,
12 ,VANGUARD R/B,1959-001B,ROCKET BODY,US,1959-02-17,AFETR,
13 ,DISCOVERER 1,1959-002A,PAYLOAD,US,1959-02-28,AFWTR,1959-03-03
14 ,DISCOVERER 2,1959-003A,PAYLOAD,US,1959-04-13,AFWTR,1959-04-26
15 ,EXPLORER 6,1959-004A,PAYLOAD,US,1959-08-07,AFETR,1961-06-30
16 ,VANGUARD R/B,1958-002A,ROCKET BODY,US,1958-03-17,AFETR,
17 ,THOR ABLE R/B,1959-004B,ROCKET BODY,US,1959-08-07,AFETR,1961-06-30
18 ,DISCOVERER 5,1959-005A,PAYLOAD,US,1959-08-13,AFWTR,1959-09-28
19 ,DISCOVERER 6,1959-006A,PAYLOAD,US,1959-08-19,AFWTR,1959-10-20
20 ,VANGUARD 3,1959-007A,PAYLOAD,US,1959-09-18,AFETR,
21 ,LUNA 3,1959-008A,PAYLOAD,CIS,1959-10-04,TTMTR,1960-04-20
22 ,EXPLORER 7,1959-009A,PAYLOAD,US,1959-10-13,AFETR,
23 ,JUNO II R/B,1959-009B,ROCKET BODY,US,1959-10-13,AFETR,1989-07-16
24 ,DISCOVERER 7,1959-010A,PAYLOAD,US,1959-11-07,AFWTR,1959-11-26
25 ,DISCOVERER 8,1959-011A,PAYLOAD,US,1959-11-20,AFWTR,1960-03-08
26 ,DISCOVERER 5 CAPSULE,1959-005B,PAYLOAD,US,1959-08-13,AFWTR,1961-02-11
27 ,PIONEER 5,1960-001A,PAYLOAD,US,1960-03-11,AFETR,
28 ,THOR ABLE R/B,1960-002A,ROCKET BODY,US,1960-04-01,AFETR,1991-07-03
29 ,TIROS 1,1960-002B,PAYLOAD,US,1960-04-01,AFETR,
30 ,THOR ABLESTAR R/B,1960-003A,ROCKET BODY,US,1960-04-13,AFETR,1961-08-18
31 ,TRANSIT 1B,1960-003B,PAYLOAD,US,1960-04-13,AFETR,1967-10-05
32 ,DISCOVERER 11,1960-004A,PAYLOAD,US,1960-04-15,AFWTR,1960-04-26
33 ,THOR ABLESTAR DEB,1960-003C,DEBRIS,US,1960-04-13,AFETR,1960-07-17
34 ,SPUTNIK 4,1960-005A,PAYLOAD,CIS,1960-05-15,TTMTR,1962-09-05
35 ,SL-3 R/B,1960-005B,ROCKET BODY,CIS,1960-05-15,TTMTR,1960-07-17
36 ,SPUTNIK 4 CABIN,1960-005C,PAYLOAD,CIS,1960-05-15,TTMTR,1965-10-15
37 ,SPUTNIK 4 DEB,1960-005D,DEBRIS,CIS,1960-05-15,TTMTR,1961-06-30
38 ,SPUTNIK 4 DEB,1960-005E,DEBRIS,CIS,1960-05-15,TTMTR,1960-08-20
39 ,SPUTNIK 4 DEB,1960-005F,DEBRIS,CIS,1960-05-15,TTMTR,1960-09-24
40 ,SPUTNIK 4 DEB,1960-005G,DEBRIS,CIS,1960-05-15,TTMTR,1960-09-24
41 ,SPUTNIK 4 DEB,1960-005H,DEBRIS,CIS,1960-05-15,TTMTR,1960-09-30
